Rank,University Name,Mean,Faculty,Publications,ml,nlp,vision,ai,theory,db,security,robotics,network,eda,se,publication_per_faculty
168,IIT Kanpur ,6.0,12,103,3,1,1,6,0,1,0,0,0,0,2,0.0
168,University of Sheffield ,6.0,21,110,2,8,1,2,1,0,0,0,0,0,0,0.0
170,University of Oregon ,5.9,7,124,2,2,1,2,0,0,0,0,0,0,0,0.0
171,University of Delaware ,5.8,17,54,2,0,2,1,0,0,1,1,0,0,1,0.0
171,University of Tsukuba ,5.8,25,71,1,1,2,9,0,1,0,3,0,0,0,0.0
173,CUNY ,5.7,24,70,2,4,5,3,1,0,0,0,0,0,0,0.0
173,Czech Technical University ,5.7,18,369,0,0,9,4,0,0,0,4,0,0,0,0.0
173,IIT Kharagpur ,5.7,14,79,0,4,1,3,0,0,0,0,0,0,0,0.0
173,KU Leuven ,5.7,10,118,0,1,0,5,0,0,2,0,0,0,0,0.0
173,Univ. of California - Merced ,5.7,7,252,1,0,3,0,1,0,0,0,0,0,0,0.0
178,SUSTech ,5.6,20,141,0,0,6,7,0,1,0,1,0,0,0,0.0
178,University of Bristol ,5.6,18,83,4,1,2,2,0,0,0,3,0,0,0,0.0
178,University of Freiburg ,5.6,10,130,1,0,1,1,0,0,0,2,0,1,0,0.0
178,University of Macau ,5.6,14,118,0,1,5,5,1,2,0,1,0,0,0,0.0
178,University of Southampton ,5.6,25,102,2,0,1,8,0,1,0,0,0,1,0,0.0
183,IIIT Hyderabad ,5.5,20,115,0,4,6,3,1,0,0,2,0,0,0,0.0
183,Osaka University ,5.5,15,154,0,1,5,0,0,2,0,2,0,0,0,0.0
183,University of Zurich ,5.5,6,80,0,1,0,1,0,0,0,1,0,0,1,0.0
183,Worcester Polytechnic Institute ,5.5,18,101,2,3,0,2,0,1,1,1,0,0,0,0.0
187,California Institute of Technology ,5.4,10,155,2,0,1,0,0,0,0,0,0,0,0,0.0
187,Emory University ,5.4,10,71,1,1,0,4,0,1,0,0,0,0,0,0.0
187,Virginia Tech ,5.4,20,103,1,1,1,4,1,0,2,0,0,1,1,0.0
190,University of Bonn ,5.3,9,105,1,1,3,1,0,0,0,3,0,0,0,0.0
191,Shandong University ,5.1,15,46,0,0,3,1,0,0,0,0,0,0,0,0.0
191,Yonsei University ,5.1,14,142,1,3,6,4,0,0,0,0,0,1,0,0.0
191,York University ,5.1,11,157,2,1,5,0,0,0,0,1,0,0,0,0.0
194,Binghamton University ,5.0,8,89,0,0,2,3,0,0,1,1,0,0,0,0.0
194,Ecole Normale Superieure ,5.0,11,280,4,0,2,0,1,0,1,0,0,0,0,0.0
194,Tokyo Institute of Technology ,5.0,16,55,3,1,2,2,0,0,0,2,0,0,0,0.0
