Rank,University Name,Mean,Faculty
391,Victoria University of Wellington ,1.6,6
407,Freie Universitaet Berlin ,1.5,5
407,Keio University ,1.5,4
407,Koç University ,1.5,4
407,Masdar Institute ,1.5,2
407,Michigan Technological University ,1.5,5
407,OHSU ,1.5,4
407,Old Dominion University ,1.5,4
407,Queensland University of Technology ,1.5,5
407,Sabancı University ,1.5,2
407,Texas Tech University ,1.5,3
407,UNICAMP ,1.5,4
407,USP-ICMC ,1.5,7
407,Universidad de los Andes ,1.5,1
407,Universidade NOVA de Lisboa ,1.5,6
407,University of Dundee ,1.5,4
407,University of Halle-Wittenberg ,1.5,2
407,University of Kiel ,1.5,2
407,University of Luxembourg ,1.5,5
407,University of Marburg ,1.5,2
407,University of Miami ,1.5,2
407,University of Nebraska - Omaha ,1.5,3
407,University of Nevada ,1.5,5
407,University of Regina ,1.5,6
407,University of Southern Mississippi ,1.5,2
407,University of Tartu ,1.5,4
407,University of Texas - El Paso ,1.5,4
407,University of Victoria ,1.5,5
407,Özyeğin University ,1.5,5
435,Boise State University ,1.4,4
435,Cleveland State University ,1.4,3
435,Ecole Normale Superieure de Cachan ,1.4,6
435,Ecole Normale Superieure de Rennes ,1.4,1
435,IIIT Bangalore ,1.4,2
435,IPI PAN ,1.4,3
435,Masaryk University ,1.4,5
435,Massey University ,1.4,3
435,McMaster University ,1.4,3
435,Middlesex University ,1.4,4
435,NYU Shanghai ,1.4,2
435,PUC-RIO ,1.4,3
435,Paderborn University ,1.4,2
435,Qatar University ,1.4,4
435,TU Braunschweig ,1.4,2
435,The University of Alabama ,1.4,2
435,UFPE ,1.4,2
435,University of Cape Town ,1.4,2
435,University of Kansas ,1.4,4
435,University of Massachusetts Boston ,1.4,4
435,VISTEC ,1.4,2
435,Virginia Commonwealth University ,1.4,4
435,Wichita State University ,1.4,1
458,Ecole Normale Superieure de Lyon ,1.3,3
458,IIT Guwahati ,1.3,3
458,IIT Ropar ,1.3,2
458,IMDEA Networks Institute ,1.3,7
458,IMSc ,1.3,2
458,Kent State University ,1.3,1
458,Kyungpook National University ,1.3,3
458,LUMS ,1.3,6
458,Memorial University of Newfoundland ,1.3,2
458,PUC-RS ,1.3,2
458,Tata Inst. of Fundamental Research ,1.3,3
458,Texas State University ,1.3,5
458,Towson University ,1.3,1
458,UFPR ,1.3,3
458,University of Hildesheim ,1.3,1
458,University of Koblenz-Landau ,1.3,1
458,University of Magdeburg ,1.3,5
